text;claimant;claimDate;claimReview_0_publisher_name;claimReview_0_publisher_site;claimReview_0_url;claimReview_0_title;claimReview_0_reviewDate;claimReview_0_textualRating;claimReview_0_languageCode;claimReview_1_publisher_name;claimReview_1_publisher_site;claimReview_1_url;claimReview_1_title;claimReview_1_reviewDate;claimReview_1_textualRating;claimReview_1_languageCode;claimReview_2_publisher_name;claimReview_2_publisher_site;claimReview_2_url;claimReview_2_title;claimReview_2_reviewDate;claimReview_2_textualRating;claimReview_2_languageCode;claimReview_3_publisher_name;claimReview_3_publisher_site;claimReview_3_url;claimReview_3_title;claimReview_3_reviewDate;claimReview_3_textualRating;claimReview_3_languageCode
इटली के प्रधानमंत्री देश में कोरोना की वजह से हो रही मौत को लेकर रो पड़े;सोशल मीडिया यूज़र्स;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/hindi/old-image-of-brazilian-president-shared-as-italian-pm-breaks-down-due-covid-19-pandemic/;कोरोना वायरस : ब्राज़ील के राष्ट्रपति की रोने की पुरानी तस्वीर इटली के राष्ट्रपति की बताकर वायरल;2020-03-25T00:00:00Z;False;hi;;;;;;;;;;;;;;;;;;;;;
Primer Ministro con lágrimas en sus ojos le dice a todo el pueblo: ‘Hemos perdido la batalla contra el coronavirus,;;2020-03-25T22:20:12Z;Animal Político;animalpolitico.com;https://www.animalpolitico.com/elsabueso/primer-ministro-de-italia-no-declaro-que-su-pais-perdio-la-batalla-contra-el-covid-19/;Primer ministro de Italia no dijo que su país perdió la guerra ante COVID-19;2020-03-25T00:00:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
इंडोनेशिया में कोरोना वायरस की वजह से मरने वाले डॉक्टर हादियो अली की आखिरी तस्वीर.;सोशल मीडिया यूजर्स;2020-03-25T00:00:00Z;Aaj Tak;aajtak.intoday.in;https://aajtak.intoday.in/story/fact-check-corona-virus-doctor-death-social-media-viral-photo-1-1174721.html;फैक्ट चेक: एक डॉक्टर की मौत नहीं बयां करती है यह वायरल तस्वीर;2020-03-25T00:00:00Z;Mostly False;hi;;;;;;;;;;;;;;;;;;;;;
"Coronavírus: mercados e lojas são saqueados em São Paulo; tudo foi levado";notícia falsa;;Aos Fatos;aosfatos.org;https://aosfatos.org/noticias/nao-houve-saques-em-supermercados-de-sao-vicente-por-causa-do-coronavirus/;Não houve saques em supermercados de São Vicente por causa do coronavírus;2020-03-25T00:00:00Z;distorcido;pt;;;;;;;;;;;;;;;;;;;;;
El hospital de Stanford ha mandado un mensaje con consejos sobre el coronavirus;;;Newtral;newtral.es;https://www.newtral.es/el-coronavirus-de-wuhan-epidemia-mundial-de-bulos-ix/20200325/;El coronavirus de Wuhan: epidemia mundial de bulos (IX) | Newtral;2020-03-25T00:00:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
Italy is highlighted in a social media post to emphasise the importance of staying home during coronavirus by using a photo of multiple coffins to reinforce the message.;A Facebook user;2020-03-22T00:00:00Z;Australian Associated Press;aap.com.au;https://www.aap.com.au/italys-covid-19-situation-is-dire-but-a-photo-of-coffins-is-not-from-the-coronavirus-pandemic/;Italy’s COVID-19 situation is dire but a photo of coffins is not from the coronavirus pandemic;2020-03-25T00:00:00Z;Partly False - The claims of the content are a mixture of accurate and inaccurate or the primary claim is misleading or incomplete.;en;;;;;;;;;;;;;;;;;;;;;
अमेरिकी वैज्ञानिकों ने कोरोना वायरस की वैक्सीन बना ली है;सोशल मीडिया यूज़र्स;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/hindi/image-of-covid-19-test-kit-shared-as-newly-developed-coronavirus-vaccine-by-roche/;कोरोना वायरस : COVID-19 टेस्ट किट की तस्वीर को वायरस की नयी वैक्सीन बता कर शेयर किया;2020-03-25T00:00:00Z;False;hi;;;;;;;;;;;;;;;;;;;;;
Il existerait un vaccin contre le coronavirus.;;;Radio-Canada.ca;ici.radio-canada.ca;https://ici.radio-canada.ca/nouvelle/1687771/vaccin-coronavirus-roche-trump-faux;Non, ceci n’est pas un vaccin contre le coronavirus | Coronavirus;2020-03-25T00:00:00Z;Faux.;fr;;;;;;;;;;;;;;;;;;;;;
While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500;Facebook users;2020-03-23T00:00:00Z;India Today;indiatoday.in;https://www.indiatoday.in/fact-check/story/fact-check-are-coronavirus-tests-most-expensive-in-india-1659724-2020-03-25;Fact Check: Are coronavirus tests most expensive in India?;2020-03-25T00:00:00Z;Mostly false;en;;;;;;;;;;;;;;;;;;;;;
Revista 'Saúde' de maio/2003 já alertava sobre o coronavírus que a China, irresponsável mente espalhou pelo mundo”;Mensagem em redes sociais;;Boatos.org;boatos.org;https://www.boatos.org/saude/revista-saude-2003-coronavirus-covid-19-existia-armacao-china.html;Revista Saúde de 2003 prova que coronavírus (Covid-19) já existia e é uma armação da China #boato;2020-03-25T00:00:00Z;Falso;pt;;;;;;;;;;;;;;;;;;;;;
Artigo no New York Times mostra que Bolsonaro está certo sobre o coronavírus Médicos ouvidos defendem isolamento apenas de idosos, pessoas com doenças crônicas e com baixa imunidade;Mensagem em redes sociais;;Boatos.org;boatos.org;https://www.boatos.org/politica/the-new-york-times-concorda-com-bolsonaro-presidente-certo-coronavirus.html;The New York Times concorda com Bolsonaro e diz que presidente está certo sobre coronavírus #boato;2020-03-25T00:00:00Z;Falso;pt;;;;;;;;;;;;;;;;;;;;;
El dióxido de cloro cura el coronavirus;;;Newtral;newtral.es;https://www.newtral.es/bulo-dioxido-de-cloro-coronavirus-peligroso-salud/20200325/;"El dióxido de cloro no cura el coronavirus; al contrario, es peligroso para la salud";2020-03-25T00:00:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
Italian police arresting man breaking lockdown during coronavirus;STAN ÓCAÍRBRE (@staniam50);2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/unrelated-incident-from-brazil-viral-as-italian-police-arresting-man-during-covid-19-lockdown/;Unrelated incident from Brazil viral as Italian police arresting man during COVID-19 lockdown;2020-03-25T00:00:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Test na koronavirus u Njemačkoj košta dva i pol eura, a u Hrvatskoj 700 kuna.;Viral social media post;2020-03-20T00:00:00Z;Faktograf;faktograf.hr;https://faktograf.hr/2020/03/25/netocno-je-da-je-test-na-koronavirus-u-njemackoj-37-puta-jeftiniji-nego-u-hrvatskoj/;Netočno je da je test na koronavirus u Njemačkoj 37 puta jeftiniji nego u Hrvatskoj - Faktograf.hr;2020-03-25T00:00:00Z;Test u Hrvatskoj doista košta 700 kuna, ali cijena u Njemačkoj je oko 200 eura.;hr;;;;;;;;;;;;;;;;;;;;;
Video of a subway passenger licking his hand and rubbing it over a pole during the coronavirus outbreak;Social media users;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/covid-19-video-of-belgian-man-rubbing-saliva-ridden-hand-on-metro-train-handrail-viral-in-india/;COVID-19: Video of Belgian man rubbing saliva-ridden hand on metro train handrail viral in India;2020-03-25T00:00:00Z;True;en;;;;;;;;;;;;;;;;;;;;;
